src,dst,day,n_tx,sum_kzt,min_kzt,max_kzt,near_threshold,pair_split_days
100000000437046100,100000007055802100,2026-07-15,8,512000.0,20000.0,250000.0,0,1
100000007170072100,100000003345947100,2026-07-13,6,79500.0,9500.0,17000.0,3,1
100000002645993100,100000002398779100,2026-07-07,5,54150.0,8000.0,14000.0,2,1
100000001732159100,100000008314203100,2026-07-14,4,40000.0,10000.0,10000.0,4,1
100000002224132100,100000000594783100,2026-07-27,4,300000.0,10000.0,200000.0,1,1
100000002306369100,100000008165763100,2026-07-22,4,114000.0,20000.0,34000.0,0,1
100000002963189100,100000008517061100,2026-07-16,4,1844000.0,344000.0,500000.0,0,1
100000003016635100,100000004394765100,2026-07-13,4,224727.0,7050.0,184665.0,2,1
100000004351795100,100000002398779100,2026-07-09,4,64100.0,6700.0,29900.0,1,1
100000008213966100,100000000838385100,2026-07-03,4,142300.0,21000.0,72300.0,0,1
100000008762832100,100000008748914100,2026-07-29,4,85000.0,5000.0,50000.0,2,1
100000000437046100,100000004299488100,2026-07-11,3,150000.0,30000.0,70000.0,0,1
100000000838385100,100000008213966100,2026-07-24,3,55000.0,11500.0,23500.0,0,1
100000001616816100,100000004015047100,2026-07-21,3,55500.0,5500.0,44000.0,2,1
100000001937767100,100000002605308100,2026-07-26,3,1000000.0,300000.0,400000.0,0,1
100000002224132100,100000004892144100,2026-07-16,3,2700000.0,700000.0,1000000.0,0,1
100000002748532100,100000001714173100,2026-07-11,3,241510.0,47110.0,100400.0,0,1
100000002957787100,100000005314565100,2026-07-07,3,218500.0,11500.0,107000.0,0,1
100000002958343100,100000000274067100,2026-07-23,3,40000.0,5000.0,20000.0,1,1
100000002963189100,100000002605308100,2026-07-24,3,1500000.0,500000.0,500000.0,0,1
100000003016635100,100000000667713100,2026-07-20,3,35550.0,5000.0,21150.0,2,1
100000003016635100,100000001851289100,2026-07-18,3,109510.0,15510.0,47000.0,0,1
100000003265158100,100000007242833100,2026-07-11,3,107500.0,11800.0,80700.0,0,1
100000003635170100,100000004209339100,2026-07-16,3,20500.0,5000.0,8000.0,3,1
100000003880331100,100000000331309100,2026-07-14,3,320000.0,20000.0,200000.0,0,1
100000003880331100,100000001857829100,2026-07-21,3,300000.0,100000.0,100000.0,0,1
100000003880331100,100000008603629100,2026-07-23,3,298000.0,98000.0,100000.0,0,1
100000004070318100,100000006866783100,2026-07-11,3,55000.0,15000.0,20000.0,0,1
100000004299488100,100000007055802100,2026-07-08,3,70000.0,18000.0,32000.0,0,1
100000004400305100,100000002645993100,2026-07-07,3,35650.0,10500.0,13450.0,0,1
100000004722765100,100000005075949100,2026-07-23,3,687000.0,15000.0,470000.0,0,1
100000005473151100,100000008335401100,2026-07-08,3,150000.0,50000.0,50000.0,0,1
100000005910114100,100000004486525100,2026-07-01,3,65614.0,17172.0,28277.0,0,1
100000005910114100,100000006756956100,2026-07-06,3,40000.0,5000.0,30000.0,2,1
100000006443391100,100000006385877100,2026-07-30,3,30000.0,5000.0,14000.0,1,1
100000006534886100,100000004330371100,2026-07-14,3,28000.0,5000.0,16000.0,2,1
100000006866783100,100000004071080100,2026-07-09,3,56000.0,15000.0,21000.0,0,1
100000006866783100,100000004299488100,2026-07-09,3,215000.0,30000.0,135000.0,0,1
100000006866783100,100000005584222100,2026-07-16,3,136217.0,11719.0,77526.0,0,1
100000007018630100,100000002371751100,2026-07-11,3,120000.0,21000.0,50000.0,0,1
100000007170072100,100000003177533100,2026-07-13,3,20000.0,5000.0,10000.0,3,1
100000007982728100,100000001411870100,2026-07-23,3,700000.0,100000.0,420000.0,0,1
100000008304139100,100000003684369100,2026-07-25,3,102000.0,22000.0,50000.0,0,1
100000008343874100,100000008343415100,2026-07-11,3,100000.0,24000.0,50000.0,0,1
100000008579978100,100000002119762100,2026-07-18,3,50000.0,6000.0,30000.0,1,1
100000008659445100,100000008193577100,2026-07-18,3,65000.0,9000.0,37000.0,1,1
100000008748914100,100000003684369100,2026-07-24,3,504000.0,55000.0,257000.0,0,1
